name,nationality
McLaren,British
BMW Sauber,German
Williams,British
Renault,French
Toro Rosso,Italian
Ferrari,Italian
Toyota,Japanese
Super Aguri,Japanese
Red Bull,Austrian
Force India,Indian
Honda,Japanese
Spyker,Dutch
MF1,Russian
Spyker MF1,Dutch
Sauber,Swiss
BAR,British
Jordan,Irish
Minardi,Italian
Jaguar,British
Prost,French
Arrows,British
Benetton,Italian
Brawn,British
Stewart,British
Tyrrell,British
Lola,British
Ligier,French
Forti,Italian
Footwork,British
Pacific,British
Simtek,British
Team Lotus,British
Larrousse,French
Brabham,British
Dallara,Italian
Fondmetal,Italian
March,British
Andrea Moda,Italian
AGS,French
Lambo,Italian
Leyton House,British
Coloni,Italian
Euro Brun,Italian
Osella,Italian
Onyx,British
Life,Italian
Rial,German
Zakspeed,German
RAM,British
Alfa Romeo,Swiss
Spirit,British
Toleman,British
ATS,Italian
Theodore,Hong Kong
Fittipaldi,Brazilian
Ensign,British
Shadow,British
Wolf,Canadian
Merzario,Italian
Kauhsen,German
Rebaque,Mexican
Surtees,British
Hesketh,British
Martini,French
BRM,British
Penske,American
LEC,British
McGuire,Australian
Boro,Dutch
Apollon,Swiss
Kojima,Japanese
Parnelli,American
Maki,Japanese
Embassy Hill,British
Lyncar,British
Trojan,British
Amon,New Zealander
Token,British
Iso Marlboro,British
Tecno,Italian
Matra,French
Politoys,British
Connew,British
Bellasi,Swiss
De Tomaso,Italian
Cooper,British
Eagle,American
LDS,South African
Protos,British
Shannon,British
Scirocco,British
RE,Rhodesian
BRP,British
Porsche,German
Derrington,British
Gilby,British
Stebro,Canadian
Emeryson,British
ENB,Belgian
JBW,British
Ferguson,British
MBM,Swiss
Behra-Porsche,Italian
Maserati,Italian
Scarab,American
Watson,American
Epperly,American
Phillips,American
Lesovsky,American
Trevis,American
Meskowski,American
Kurtis Kraft,American
Kuzma,American
Christensen,American
Ewing,American
Aston Martin,British
Vanwall,British
Moore,American
Dunn,American
Elder,American
Sutton,American
Fry,British
Tec-Mec,Italian
Connaught,British
Alta,British
OSCA,Italian
Gordini,French
Stevens,American
Bugatti,French
Mercedes,German
Lancia,Italian
HWM,British
Schroeder,American
Pawl,American
Pankratz,American
Arzani-Volpini,Italian
Nichels,American
Bromme,American
Klenk,German
Simca,French
Turner,American
Del Roy,American
Veritas,German
BMW,German
EMW,East German
AFM,German
Frazer Nash,British
Sherman,American
Deidt,American
ERA,British
Aston Butterworth,British
Cisitalia,Italian
Talbot-Lago,French
Hall,American
Marchese,American
Langley,American
Rae,American
Olson,American
Wetteroth,American
Adams,American
Snowberger,American
Milano,Italian
HRT,Spanish
Cooper-Maserati,British
Virgin,British
Cooper-OSCA,British
Cooper-Borgward,British
Cooper-Climax,British
Cooper-Castellotti,British
Lotus-Climax,British
Lotus-Maserati,British
De Tomaso-Osca,Italian
De Tomaso-Alfa Romeo,Italian
Lotus-BRM,British
Lotus-Borgward,British
Cooper-Alfa Romeo,British
De Tomaso-Ferrari,Italian
Lotus-Ford,British
Brabham-BRM,British
Brabham-Ford,British
Brabham-Climax,British
LDS-Climax,South African
LDS-Alfa Romeo,South African
Cooper-Ford,British
McLaren-Ford,British
McLaren-Serenissima,British
Eagle-Climax,American
Eagle-Weslake,American
Brabham-Repco,British
Cooper-Ferrari,British
Cooper-ATS,British
McLaren-BRM,British
Cooper-BRM,British
Matra-Ford,French
BRM-Ford,British
McLaren-Alfa Romeo,British
March-Alfa Romeo,British
March-Ford,British
Lotus-Pratt &amp; Whitney,British
Shadow-Ford,British
Shadow-Matra,British
Brabham-Alfa Romeo,British
Lotus,Malaysian
Marussia,Russian
Caterham,Malaysian
Lotus F1,British
Manor Marussia,British
Haas F1 Team,American
Racing Point,British
AlphaTauri,Italian
Alpine F1 Team,French
